id,uf,nome_uf,mesorregiao_geografica,nome_mesorregião,microrregiao_geografica,nome_microrregiao,municipio,codigo_municipio_completo,nome_municipio,distrito,codigo_de_distrito_completo,nome_distrito
8522,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",009,Carazinho,00471,4300471,"Almirante Tamandaré do Sul",05,430047105,"Almirante Tamandaré do Sul"
8523,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",009,Carazinho,00471,4300471,"Almirante Tamandaré do Sul",15,430047115,"Linha Vitória"
8524,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",009,Carazinho,00471,4300471,"Almirante Tamandaré do Sul",30,430047130,"Rincão do Segredo"
8525,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",00505,4300505,Alpestre,05,430050505,Alpestre
8526,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",00505,4300505,Alpestre,10,430050510,Farinhas
8527,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",00505,4300505,Alpestre,15,430050515,Sertãozinho
8528,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",00505,4300505,Alpestre,20,430050520,"Volta Grande"
8529,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",00554,4300554,"Alto Alegre",05,430055405,"Alto Alegre"
8530,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",00554,4300554,"Alto Alegre",10,430055410,"Linha Bonita"
8531,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",00554,4300554,"Alto Alegre",20,430055420,"Santa Lúcia"
8532,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",00554,4300554,"Alto Alegre",25,430055425,"São José"
8533,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",00554,4300554,"Alto Alegre",30,430055430,"Treze de Maio"
8534,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,00570,4300570,"Alto Feliz",05,430057005,"Alto Feliz"
8535,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",026,"Porto Alegre",00604,4300604,Alvorada,05,430060405,Alvorada
8536,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",026,"Porto Alegre",00604,4300604,Alvorada,10,430060410,"Estância Grande"
8537,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",00638,4300638,"Amaral Ferrador",05,430063805,"Amaral Ferrador"
8538,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",00646,4300646,"Ametista do Sul",05,430064605,"Ametista do Sul"
8539,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",00646,4300646,"Ametista do Sul",25,430064625,"São Valentin da Gruta"
8540,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",014,Guaporé,00661,4300661,"André da Rocha",05,430066105,"André da Rocha"
8541,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",014,Guaporé,00703,4300703,"Anta Gorda",05,430070305,"Anta Gorda"
8542,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",014,Guaporé,00703,4300703,"Anta Gorda",10,430070310,Itapuca
8543,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",00802,4300802,"Antônio Prado",05,430080205,"Antônio Prado"
8544,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",00802,4300802,"Antônio Prado",07,430080207,"Linha 21 de Abril"
8545,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",00802,4300802,"Antônio Prado",30,430080230,Santana
8546,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",028,Camaquã,00851,4300851,Arambaré,05,430085105,Arambaré
8547,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",028,Camaquã,00851,4300851,Arambaré,20,430085120,"Santa Rita do Sul"
8548,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",026,"Porto Alegre",00877,4300877,Araricá,05,430087705,Araricá
8549,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,00901,4300901,Aratiba,05,430090105,Aratiba
8550,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,00901,4300901,Aratiba,15,430090115,Dourado
8551,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,00901,4300901,Aratiba,18,430090118,"Pio X"
8552,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,00901,4300901,Aratiba,20,430090120,"Rio Azul"
8553,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,00901,4300901,Aratiba,25,430090125,"Três Barras"
8554,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,00901,4300901,Aratiba,30,430090130,"Volta Fechada"
8555,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,01008,4301008,"Arroio do Meio",05,430100805,"Arroio do Meio"
8556,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,01008,4301008,"Arroio do Meio",16,430100816,Forqueta
8557,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,01008,4301008,"Arroio do Meio",18,430100818,Palmas
8558,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,01008,4301008,"Arroio do Meio",30,430100830,"Vale do Arroio Grande"
8559,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",033,Pelotas,01073,4301073,"Arroio do Padre",05,430107305,"Arroio do Padre"
8560,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",027,Osório,01057,4301057,"Arroio do Sal",05,430105705,"Arroio do Sal"
8561,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",05,430120605,"Arroio do Tigre"
8562,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",10,430120610,Coloninha
8563,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",18,430120618,"Linha Ocidental"
8564,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",25,430120625,"Vila Progresso"
8565,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",35,430120635,"Sítio Alto"
8566,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",40,430120640,Taboãozinho
8567,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",020,"Santa Cruz do Sul",01206,4301206,"Arroio do Tigre",45,430120645,Taquaral
8568,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",025,"São Jerônimo",01107,4301107,"Arroio dos Ratos",05,430110705,"Arroio dos Ratos"
8569,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",034,Jaguarão,01305,4301305,"Arroio Grande",05,430130505,"Arroio Grande"
8570,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",034,Jaguarão,01305,4301305,"Arroio Grande",10,430130510,Mauá
8571,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",034,Jaguarão,01305,4301305,"Arroio Grande",15,430130515,Pedreiras
8572,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",034,Jaguarão,01305,4301305,"Arroio Grande",20,430130520,"Santa Izabel do Sul"
8573,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",014,Guaporé,01404,4301404,Arvorezinha,05,430140405,Arvorezinha
8574,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",014,Guaporé,01404,4301404,Arvorezinha,20,430140420,"Pinhal Queimado"
8575,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",008,Ijuí,01503,4301503,"Augusto Pestana",05,430150305,"Augusto Pestana"
8576,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",008,Ijuí,01503,4301503,"Augusto Pestana",10,430150310,Rosário
8577,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,01552,4301552,Áurea,05,430155205,Áurea
8578,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",031,"Campanha Meridional",01602,4301602,Bagé,05,430160205,Bagé
8579,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",031,"Campanha Meridional",01602,4301602,Bagé,17,430160217,"Joca Tavares"
8580,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",031,"Campanha Meridional",01602,4301602,Bagé,20,430160220,"José Otávio"
8581,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",031,"Campanha Meridional",01602,4301602,Bagé,21,430160221,Palmas
8582,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",031,"Campanha Meridional",01602,4301602,Bagé,22,430160222,Piraí
8583,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",027,Osório,01636,4301636,"Balneário Pinhal",05,430163605,"Balneário Pinhal"
8584,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",027,Osório,01636,4301636,"Balneário Pinhal",10,430163610,Magistério
8585,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",027,Osório,01636,4301636,"Balneário Pinhal",15,430163615,"Túnel Verde"
8586,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,01651,4301651,Barão,05,430165105,Barão
8587,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,01651,4301651,Barão,10,430165110,"Arroio Canoas"
8588,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,01651,4301651,Barão,25,430165125,"Francesa Alta"
8589,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,01651,4301651,Barão,27,430165127,"Francesa Baixa"
8590,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,01651,4301651,Barão,30,430165130,"General Neto"
8591,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,01701,4301701,"Barão de Cotegipe",05,430170105,"Barão de Cotegipe"
8592,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",025,"São Jerônimo",01750,4301750,"Barão do Triunfo",05,430175005,"Barão do Triunfo"
8593,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",002,"Três Passos",01859,4301859,"Barra do Guarita",05,430185905,"Barra do Guarita"
8594,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",029,"Campanha Ocidental",01875,4301875,"Barra do Quaraí",05,430187505,"Barra do Quaraí"
8595,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",029,"Campanha Ocidental",01875,4301875,"Barra do Quaraí",15,430187515,"Francisco Borges"
8596,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",029,"Campanha Ocidental",01875,4301875,"Barra do Quaraí",18,430187518,Guterrez
8597,43,"Rio Grande do Sul",06,"Sudoeste Rio-grandense",029,"Campanha Ocidental",01875,4301875,"Barra do Quaraí",25,430187525,"Passo da Cruz"
8598,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",028,Camaquã,01909,4301909,"Barra do Ribeiro",05,430190905,"Barra do Ribeiro"
8599,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",028,Camaquã,01909,4301909,"Barra do Ribeiro",10,430190910,Douradilho
8600,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,01925,4301925,"Barra do Rio Azul",05,430192505,"Barra do Rio Azul"
8601,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",009,Carazinho,01958,4301958,"Barra Funda",05,430195805,"Barra Funda"
8602,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",005,Sananduva,01800,4301800,Barracão,05,430180005,Barracão
8603,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",005,Sananduva,01800,4301800,Barracão,10,430180010,"Espigão Alto"
8604,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",013,Soledade,02006,4302006,"Barros Cassal",05,430200605,"Barros Cassal"
8605,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,02055,4302055,"Benjamin Constant do Sul",05,430205505,"Benjamin Constant do Sul"
8606,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",02105,4302105,"Bento Gonçalves",05,430210505,"Bento Gonçalves"
8607,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",02105,4302105,"Bento Gonçalves",07,430210507,"São Pedro"
8608,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",02105,4302105,"Bento Gonçalves",10,430210510,"Faria Lemos"
8609,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",02105,4302105,"Bento Gonçalves",30,430210530,Tuiuty
8610,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",02105,4302105,"Bento Gonçalves",40,430210540,"Vale dos Vinhedos"
8611,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",009,Carazinho,02154,4302154,"Boa Vista das Missões",05,430215405,"Boa Vista das Missões"
8612,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",009,Carazinho,02154,4302154,"Boa Vista das Missões",30,430215430,"São João"
